RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
394390,"Bismarck, ND",297,157100,152000,145300,140400,140000,139200,144300,148900,158000,163100,157500,156300,151200,158400,156600,158800,156400,152000,147900,146200,146400,150400,151600,158200,155600,160700,157200,159700,157600,154100,153300,156300,160400,159200,155600,163400,158500,158400,151500,161600,166900,167500,165000,157800,160200,163900,164600,164600,159900,162800,162200,170400,175300,178600,183500,188300,190100,193300,190300,203500,195400,198700,191700,195300,201700,204900,207100,205000,208400,217800,223100,228300,224800,214300,208700,208200,217400,217600,216200,222900,226300,240300,242200,240500,238200,227700,226300,226200,238500,245300,241900,236400,235200,232600,228000,228200,231200,236100,237200,235400,234100,227400,232400,238200,245100,244100,242600,244900,235100,233700,231800,239300,234600,236500,240200,244300,244700,241200,242900,239500,240800,247400,252200,254700,251000,249100,245900,242600,236600,231000,243200,250300,262100,256200,255100,252900,252000,256800,256300,250000,246500,254800,,
394546,"Dunn, NC",298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120200,126300,131500,136600,133400,136300,131900,141400,137800,130400,119600,115100,120600,121600,122000,122100,121700,126100,121800,122000,119500,122400,124900,125000,126100,125000,127800,125500,129000,127500,130500,131200,132900,136800,133200,138600,137800,143700,146000,144100,143000,142800,140400,145000,145100,153400,152300,152200,146600,146400,143000,145800,147400,150700,162100,159500,160400,147400,150900,149600,151800,151700,156600,162500,162200,158500,159300,152600,150400,149500,158600,165200,165800,166800,164400,166300,166200,166800,167700,168700,171500,168300,167300,168800,173500,172000,174100,175900,182700,182700,179400,176900,174200,182300
395237,"Wooster, OH",299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96000,105900,104000,100800,97700,105800,110600,112400,118400,113200,112700,104100,106500,107700,108800,116100,105900,109700,109100,121500,127300,124500,119900,111500,116800,120000,120300,115800,115200,115000,111600,112900,115500,121000,122200,122100,121700,120100,120600,122000,122200,127500,125300,126400,111900,116000,114100,123500,120700,122000,123800,124800,126300,124900,126000,128000,126600,131700,132100,133100,128500,126000,127400,128700,132000,132700,126600,121700,121600,126800,131600,130100,134000,133800,133900,133400,134100,135000,135400,135100,148500,146200,145200,133800,135000,137800,137200,138400,135700,139500,141400,143700,143800,142400,140700,141300,138800,140700,138500,142600,145200,147800,149000,149800,154800,
394880,"Morristown, TN",300,108200,108600,105500,105200,107900,106100,102400,99700,91600,90500,88300,101200,101900,103800,104700,107900,106500,101700,102300,97400,95800,94700,100800,105300,103800,105700,106400,103600,100800,92500,93500,91100,90400,98900,98700,95800,88900,91600,95600,99500,99800,102700,103800,101200,97800,92900,91400,99900,101500,104600,97700,93400,94000,96500,99400,99200,98400,99600,94700,95100,93800,99700,98000,98200,96600,96600,96700,90600,86500,89200,93400,99600,100700,109900,112300,110700,108600,104700,106200,101600,106500,105800,102800,97000,98600,104000,109100,110300,113900,114900,113500,115000,116900,116400,117100,115700,110400,109400,110000,120300,116000,117400,117900,125300,122800,124200,123900,128700,127300,128100,128400,131800,131900,134300,135900,134000,126800,126000,129800,136500,136000,134700,135100,134900,135900,139100,140500,142800,140300,140600,138700,142700,141100,143600,142100,145100,146900,148600,150200,149400,147000,153800,158600,162600
394734,"Kankakee, IL",301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105100,110700,120300,123800,120600,111900,111500,117200,118300,122400,120300,111100,113600,111900,122100,122600,121600,116900,108600,111100,115600,121000,125700,112700,114300,113400,122300,116500,114500,115500,118200,114600,110600,108200,108600,110300,131700,129600,136600,116000,121000,120900,121300,124000,124000,117700,115200,111900,121500,123000,123700,122600,123100,125800,126800,124500,123000,121900,126900,130900,155700,154100,148600,127500,131900,134800,139500,138000,140300,137900,141200,136200,144700,140500,144800,139400,139800,144700,145100,139000,137500,,,
394423,"Brunswick, GA",302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182500,186700,177800,178700,186400,192900,198500,200800,204500,208400,208000,205200,191200,187700,188100,192400,191600,186800,181800,203000,203300,207900,195300,218900,213700,202100,183000,199200,215500,219500,217400,225600,
394932,"Ogdensburg, NY",303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74500,66700,64100,63700,62300,70700,73600,79400,79200,79800,73600,76100,81300,84600,89500,92000,95600,90300,83100,74600,75000,76900,91600,91300,91300,85200,87200,88300,83600,81500,74900,71700,68200,81400,86700,86700,71200,72700,69900,73000,72200,75100,85000,82300,80600,75000,73900,77100,74400,77400,76700,72000,71400,73200,85200,85900,84500,77500,87500,82700,80300,74300,77400,73100,
394857,"Michigan City, IN",304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122300,120600,116400,115100,113400,110200,106900,100000,106500,111900,119200,119000,115000,114300,114400,117100,125600,126500,117700,110000,106900,115700,116900,120800,120500,123300,120000,123800,128300,123300,123000,115600,127100,124500,138600,138800,141400,127300,123500,123100,124500,115400,110600,113300,122500,124100,123400,122600,123500,123800,130200,128800,128400,123800,130800,133000,135500,133800,132600,130300,132400,132800,137400,129400,123100,118400,122900,133500,133400,140000,141200,149400,140300,141600,140900,143900,133600,128100
753890,"Holland, MI",305,113400,111500,107500,109200,108100,112500,109400,110300,105200,98200,92600,82500,77900,82400,83700,88600,83400,91400,95000,100800,102200,104600,94600,95200,85800,91900,93200,104400,102900,99400,98000,98600,99700,95500,92400,87600,79700,79800,82000,86000,90800,93400,96300,98400,93300,93600,94600,96300,97800,100300,99300,96600,96300,106900,117600,112000,111900,112900,119500,108600,107200,104500,106600,106900,113300,122400,124200,118000,119000,118500,130300,140100,138600,129200,119700,121500,120700,124300,125800,126600,124700,125700,129300,127300,129100,135700,137300,136600,131000,133600,130600,132700,136300,138800,138100,138900,143000,146400,146800,147400,148700,148100,144700,142300,140300,142400,144300,147800,150900,155700,159900,163000,158900,156600,157900,166800,172200,171600,171800,177100,176800,171600,163500,161500,163200,163900,169200,170800,167600,169700,163500,174700,170600,183300,174900,179900,173000,173400,174900,175300,180300,180600,185300,199400
395218,"Wenatchee, WA",306,244300,249800,230700,221400,209700,216000,214300,221400,227900,219200,226500,233500,242900,233600,208300,203900,196700,204400,204300,212700,207700,211900,216000,230800,231100,226700,214700,209200,211000,213400,208800,212100,204500,203500,199500,216100,228400,219800,202400,192800,200700,203400,201200,192100,194700,194800,213000,209400,215700,199800,207800,218600,216500,212000,206700,201700,205900,204000,216600,215900,219000,218500,221900,218900,222200,216900,214700,210800,211800,216700,220800,225100,222500,220600,219800,225400,225400,226500,218800,221500,220200,223100,218500,223300,232900,239300,247500,240900,242900,236800,237100,239200,239000,240200,241600,246900,249000,250500,248000,248700,246000,248300,255500,261300,267900,270000,271800,265100,260400,256400,262300,258000,264900,263700,278000,273900,281300,272700,277600,272400,277100,281600,280300,285400,282300,296100,296900,300400,293200,294200,294600,299000,305100,303500,305900,306200,317200,324700,339000,342900,343900,327200,336800,336500
